ID,Module title,Composite name,Module size,Module category,Annotation level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0,targets of FOSL1/2,targets of FOSL1/2 (M0),12,TF targets,complete,CCL2,DCN,LIF,PLAU,IL6,MGP,COL1A2,MMP9,THBD,MMP2,IL8,MMP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,ITGA9,PDGFRA,PTK2,TNC,PDGFRB,EGFR,ITGA5,LAMB1,COL3A1,LAMB2,CAV2,MYL9,ITGA2B,KDR,ITGB3,COL5A2,COL5A1,COL4A2,COL4A1,LAMC1,FN1,CCND2,ITGAV,MET,COL1A2,COL1A1,COL6A1,COL6A3,COL6A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1.1,integrin cell surface interactions (II),integrin cell surface interactions (II) (M1.1),12,molecular function,partial,LAMC1,TNC,FN1,FBN1,COL4A5,COL1A2,COL4A2,COL4A1,COL1A1,LAMB1,VWF,LAMB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2.0,extracellular matrix (I),extracellular matrix (I) (M2.0),30,location,complete,CDH11,PDGFRB,PDGFRA,VCAN,BGN,AEBP1,COL3A1,THBS1,LUM,DCN,THBS2,FSTL1,NID2,NID1,PCOLCE,SPP1,PDGFC,LAMA4,FBN1,COL5A2,COL5A1,COL4A2,COL4A1,MXRA8,COL1A2,COL1A1,COL6A1,COL6A3,COL6A2,MMP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2.1,extracellular matrix (II),extracellular matrix (II) (M2.1),45,location,complete,TNFSF13,CD40LG,MPO,VCAN,TFF3,AEBP1,OLFM4,COL3A1,LOX,TNFAIP2,HTRA1,LILRB2,PLA2G7,CHIT1,THBS2,RETN,NID2,NID1,CRISP3,CST3,CTSH,LAMA4,ENTPD1,FBN1,COL5A2,POSTN,COL5A1,COL4A2,CEACAM8,GRN,ACHE,LRG1,CTSG,CXCL1,SMPDL3A,ORM1,ARG1,SPARC,FGL2,COL1A2,ANGPTL2,COL1A1,TGFBI,COL6A2,MMP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2.2,extracellular matrix (III),extracellular matrix (III) (M2.2),14,location,complete,CDH11,DCN,LAMA4,VCAN,FBN1,COL5A2,NID2,COL5A1,COL1A2,ANGPTL2,COL3A1,EDNRA,AEBP1,MMP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,regulation of signal transduction,regulation of signal transduction (M3),47,signaling,partial,PTK2,TIMP2,WLS,KIF26A,ECM1,GAB1,CCR1,FOXO1,C5AR1,APCDD1,S100A12,SOX7,PLXNB2,FZD8,TRAT1,CSF1R,SULF2,CDK14,PSD3,JUP,ADAP2,NOD2,TIAM2,LYN,FGD4,ENG,FPR1,KLF4,PRKCD,UBASH3A,SHANK3,GATA3,GH1,HPSE,IL1RN,LRP1,BMP2,SYK,HMOX1,TLR2,RGL1,CTGF,ZNF423,TLR5,BCL6,CD3E,ASAP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4.0,cell cycle and transcription,cell cycle and transcription (M4.0),335,biological process,complete,FXYD6,FAM198B,HSPA6,BUB1B,PLK1,NUF2,CD33,TIMP2,PLK4,CD36,C5AR1,FCGR1B,FCGR1A,S100A11,SEMA4A,MAFB,S100A12,KIF2C,CPPED1,SKA1,TPX2,CCDC99,NUSAP1,TYROBP,UBE2T,FGR,MARCKS,ESPL1,C15orf42,DLGAP5,IRAK3,SIRPA,CDCA7,BRCA1,CENPN,CENPM,CENPK,OIP5,CENPI,CENPH,CENPF,ALOX5,NOD2,MYBL2,ITGAX,CENPA,CLEC4E,SPAG5,ZWINT,CSF3R,CENPW,SLC15A3,DEPDC1B,KIFC1,HPSE,KCTD12,TNFAIP2,LST1,CD300LF,ORC1L,WHSC1,RBM47,H2AFX,SECTM1,KIF23,RAB31,TLR2,CD163,CCNF,DAPK1,TLR4,GLT1D1,CHAC2,PTAFR,TLR8,TOP2A,TCF19,SPC24,SPC25,CDC20,TNFSF13,C16orf75,CD1D,CSF2RA,STMN1,IGSF6,DTL,PTTG3P,EMR2,RASSF4,TROAP,SLC31A2,FEN1,FAM64A,TMEM106C,FGL2,RIN2,POLA2,LY86,PLXNB2,STIL,LILRB3,LILRB2,LILRB1,CLEC7A,CCNE2,EXO1,TIMELESS,RNF130,PAICS,TNS3,CEACAM8,NEK2,DONSON,HNMT,WDFY3,CHEK1,GCA,FCN1,SUV39H2,BUB1,TFEC,CDC25C,CDC25A,NCAPH,SGOL2,RTN1,NCAPG,NCF1C,PGLYRP1,GRN,HCK,KIF18B,KIF15,PBK,LOC100288693,GINS2,IL1RN,IL13RA1,GINS1,RNASEH2A,GINS4,NPL,TIPIN,KIF20B,UBE2C,HMOX1,CD93,APITD1,MELK,CD14,DEPDC1,SIRPB2,POLE2,FPR1,KNTC1,SORT1,UBE2S,KIF20A,AIF1,MCM2,NCF2,NCF1,SMC2,POLQ,MKI67,RFC5,CSF1R,TK1,TMPO,RFC3,KIF14,CCR1,C21orf45,CD302,FOXM1,FBXO5,FANCD2,ZWILCH,GMNN,BRIP1,KIAA0101,WDHD1,NDC80,CDC6,CDC7,SCPEP1,FCER1G,SPI1,CYP1B1,RACGAP1,ASPM,FAM54A,ERCC6L,CDT1,CKS1B,MCM4,CD86,PRIM1,RAD51AP1,S100A9,SLC7A7,CST3,GGH,FANCI,E2F7,EPB41L3,MTMR11,LMNB2,CKS2,WDR76,CSTA,HMMR,RXRA,CCDC34,ASGR1,ASGR2,LMNB1,KIF11,FES,PTTG1,LGALS2,PADI4,UHRF1,C11orf82,KIAA1598,SHCBP1,LMO2,TACC3,APOBEC3A,LRRC25,ALDH2,APOBEC3B,CDK1,FAM72A,ARHGAP11A,RAD51,CDC45,PILRA,GPSM2,CKAP2L,DSCC1,TYMS,CTSH,POLA1,MAD2L1,STAB1,HELLS,DHFR,PLAUR,BIRC5,CEP55,VCAN,KIAA1524,EZH2,RRM2,RRM1,NLRP12,SYK,PRC1,ATAD2,ZNF367,MYOF,FAM83D,SERPINA1,CEBPA,DNA2,CCNA2,PLBD1,ECT2,CEBPD,CDKN3,TBXAS1,DIAPH3,TTK,TNFSF12-TNFSF13,KIF4A,RMI1,CDCA2,CDCA3,SKA3,KLF4,AURKA,AURKB,CDCA5,MNDA,POC1A,CDCA8,FCGRT,CENPE,ASF1B,PCNA,C1orf112,MCM10,MS4A6A,NEIL3,MND1,MPEG1,ANLN,KIF18A,PRKCD,FCGR2A,CYBB,MCM6,MCM5,KYNU,NCAPG2,IFI30,CASC5,TGFBI,HJURP,TRIP13,PPIL5,CPVL,DMXL2,CCNB2,CCNB1,AOAH,CHST15,E2F2,C12orf48,CFD,SLC11A1,RFC4,CLEC4A,E2F8,RAD54L,TYMP,LILRA6,MLF1IP,SEPX1,SIGLEC7,LILRA2,CFP,LILRA1,,,,,,,,,,,,
M4.1,cell cycle (I),cell cycle (I) (M4.1),145,biological process,complete,BUB1B,PLK1,PLK4,KIF2C,SKA1,TPX2,CCDC99,ESPL1,DLGAP5,BRCA1,CENPN,CENPM,CENPK,OIP5,CENPI,CENPH,CENPF,CENPE,SPAG5,MYBL2,CENPA,CENPW,KIFC1,H2AFX,KIF23,CCNF,NCAPH,NCAPG,TOP2A,SPC24,SPC25,KIF11,NCAPG2,STMN1,DTL,ZWINT,FEN1,NEK2,CCNE2,EXO1,TIMELESS,TTK,TYMS,CHEK1,SUV39H2,BUB1,CDC25C,CDC25A,SGOL2,NCAPD3,ZWILCH,PBK,GINS2,GINS1,GINS4,GPSM2,UBE2C,CDC20,MELK,DTYMK,POLE2,UBE2S,DSCC1,SMC2,POLA2,RFC5,CDT1,RFC3,SMC4,KIF15,PRKAR2B,FOXM1,FBXO5,FANCD2,GMNN,BRIP1,NDC80,CDC6,CDC7,NUSAP1,RACGAP1,ASPM,ERCC6L,KNTC1,CKS1B,PRIM1,RANBP1,FANCI,HELLS,CKS2,PTTG1,UHRF1,C11orf82,TACC3,CDK1,RAD51,CDC45,KIF20B,KIF20A,MKI67,POLA1,MAD2L1,DHFR,BIRC5,CEP55,RRM2,CHAF1B,PRC1,APITD1,FAM83D,DNA2,CCNA2,ECT2,TIPIN,CDKN3,NUF2,CDCA2,CDCA3,SKA3,AURKA,AURKB,CDCA5,CDCA8,PCNA,MCM10,MND1,ANLN,KIF18A,KIF18B,MCM6,MCM5,MCM4,MCM2,CASC5,HJURP,TRIP13,E2F7,CCNB2,CCNB1,E2F2,RFC4,E2F8,TUBG1,RAD54L,MLF1IP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4.2,PLK1 signaling events,PLK1 signaling events (M4.2),34,signaling,complete,BUB1B,PLK1,CEP55,KIF14,FBXO5,PRC1,MYBL2,NDC80,TPX2,HJURP,ECT2,ASPM,ERCC6L,RAD51AP1,ESPL1,AURKA,WEE1,CLSPN,ASF1B,BUB1,CDC25C,CENPE,SGOL1,NUSAP1,TRIP13,GINS2,KIF23,CDC20,TUBG1,NCAPG,MLF1IP,CKAP2L,SPC25,KIF20A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4.3,myeloid cell enriched receptors and transporters,myeloid cell enriched receptors and transporters (M4.3),31,immune,complete,CD1D,SLC7A7,AMICA1,CCR1,LRRC25,GPBAR1,MYOF,MARCO,SULF2,CD86,SLC1A3,SLC8A1,IGSF6,MPEG1,MTMR11,RNASE6,SLC24A4,SIGLEC16,ASGR1,SLC15A3,KCTD12,CHST15,SLC2A6,SECTM1,CLEC4A,CD14,TLR5,TLR8,SIGLEC7,MS4A14,LILRA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4.4,mitotic cell cycle - DNA replication,mitotic cell cycle - DNA replication (M4.4),30,biological process,complete,POLA2,POLA1,PLK4,KIF15,CDC6,CDC7,STIL,EXO1,CDT1,ORC6L,PRIM1,PRIM2,PCNA,C1orf112,MCM10,OIP5,MND1,TPX2,MCM7,MCM6,MCM5,MCM4,MCM3,MCM2,MCM8,C12orf48,RPA2,CDK2,POLE2,CDC45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4.5,mitotic cell cycle in stimulated CD4 T cells,mitotic cell cycle in stimulated CD4 T cells (M4.5),35,biological process,partial,MAD2L1,CEP55,HNRPLL,LAG3,GPR56,KIAA0101,NDC80,TYMS,FBXO5,MELK,GRAP2,CDCA7,CDCA5,RRM2,CXCR6,MIR155HG,CENPM,CENPK,NUF2,IFNG,ZNF367,MCM6,ENO2,KIF11,DEPDC1B,ZEB1,UHRF1,TACC3,CDC20,CDK1,RNF144A,CHAC2,TOP2A,UBE2T,KIF20A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4.6,cell division in stimulated CD4 T cells,cell division in stimulated CD4 T cells (M4.6),20,biological process,partial,BRCA1,GINS2,CENPM,BRCA2,CDKN3,ANLN,CEP55,HMMR,POLE2,CDCA2,GINS1,NCAPG2,CDCA7,FANCD2,UBE2T,DEPDC1B,FANCL,FAM72A /// FAM72B /// FAM72C /// FAM72D,FANCI,DSCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4.7,mitotic cell cycle,mitotic cell cycle (M4.7),21,biological process,complete,CCNB2,CCNB1,CCNA2,SHCBP1,PLK1,CDC25C,CDC25A,EXO1,CDT1,CEP152,PKMYT1,E2F8,TUBG1,CDK1,CEP76,FOXM1,SGOL2,CEP72,NEK2,PLK4,CKAP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4.8,cell division - E2F transcription network,cell division - E2F transcription network (M4.8),19,biological process,complete,E2F7,PCNA,NASP,MAD2L1,CASP2,TOPBP1,RFC5,TIMELESS,DNMT1,H2AFX,KIF4A,PRKDC,MCM4,DTYMK,MCM2,ZWINT,RNASEH2A,MCM3,RANBP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4.9,mitotic cell cycle in stimulated CD4 T cells,mitotic cell cycle in stimulated CD4 T cells (M4.9),16,biological process,partial,RBBP8,CCDC99,CENPF,CENPE,MASTL,PLK4,ZNF367,KIF14,EZH2,RAD51,NCAPH,GMNN,TRIP13,RRM1,CDC6,DONSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
