ID,ModuleTitle,CompositeName,ModuleSize,ModuleCategory,AnnotationLevel,ModuleMemberGenes
M0,targets of FOSL1/2,targets of FOSL1/2 (M0),12,TF targets,complete,CCL2
M0,targets of FOSL1/2,targets of FOSL1/2 (M0),12,TF targets,complete,DCN
M0,targets of FOSL1/2,targets of FOSL1/2 (M0),12,TF targets,complete,LIF
M0,targets of FOSL1/2,targets of FOSL1/2 (M0),12,TF targets,complete,PLAU
M0,targets of FOSL1/2,targets of FOSL1/2 (M0),12,TF targets,complete,IL6
M0,targets of FOSL1/2,targets of FOSL1/2 (M0),12,TF targets,complete,MGP
M0,targets of FOSL1/2,targets of FOSL1/2 (M0),12,TF targets,complete,COL1A2
M0,targets of FOSL1/2,targets of FOSL1/2 (M0),12,TF targets,complete,MMP9
M0,targets of FOSL1/2,targets of FOSL1/2 (M0),12,TF targets,complete,THBD
M0,targets of FOSL1/2,targets of FOSL1/2 (M0),12,TF targets,complete,MMP2
M0,targets of FOSL1/2,targets of FOSL1/2 (M0),12,TF targets,complete,IL8
M0,targets of FOSL1/2,targets of FOSL1/2 (M0),12,TF targets,complete,MMP1
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,ITGA9
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,PDGFRA
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,PTK2
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,TNC
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,PDGFRB
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,EGFR
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,ITGA5
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,LAMB1
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,COL3A1
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,LAMB2
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,CAV2
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,MYL9
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,ITGA2B
